Permittivity  data per frequency,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Stirrer, RPM","Conductivity, mS/cm",Volume_V,Phase_Sh,Fs_in,Biomasse_X_in,Proteine_P_in,Biomasse_X_target,Proteine_P_target
-2.32509613,-1.71118927,-1.1912899,-0.74322128,-0.55213356,-0.30476952,-0.19263268,-0.24394703,-0.15548086,-0.25952888,-0.07225049,0.13080174,-0.07657224,200.0,48.10886002,1.96771133333333,0,0.12,38.1840465343173,1.1383920329042,38.1840465343173,1.1383920329042
-2.2420311,-1.63417816,-1.14502525,-0.73904991,-0.55361271,-0.28657055,-0.1671977,-0.04790974,-0.12383246,-0.20313048,0.01518953,0.15828592,-0.02762717,200.0,48.13777542,1.96770116666667,0,0.12,38.172886212825,1.20673463441004,38.172886212825,1.20673463441004
-2.27326965,-1.6056366,-1.11953354,-0.75902367,-0.51620579,-0.24685669,-0.14715719,-0.01873875,-0.10585141,-0.23615098,0.06426048,0.18002278,-0.0318501,200.0,48.16202927,1.967691,0,0.12,38.1598412109358,1.27523024067846,38.1598412109358,1.27523024067846
-2.36934662,-1.63460159,-1.08302498,-0.73072052,-0.52145958,-0.2442503,-0.14124107,-0.04875469,-0.10912728,-0.17298126,0.16881263,0.2688635,0.10071093,200.0,48.19791031,1.96768083333333,0,0.12,38.1474218906699,1.34387875972734,38.1474218906699,1.34387875972734
-2.31923676,-1.48119354,-0.93500137,-0.62830734,-0.42843246,-0.20189762,-0.11133099,-0.03204489,-0.09479547,-0.17350364,0.13878429,0.34839755,0.06154805,200.0,48.19738388,1.96777066666667,0,0.12,38.1369542620082,1.41268009957454,38.1369542620082,1.41268009957454
-2.34131622,-1.47770309,-1.00744247,-0.68065262,-0.41346645,-0.17402458,-0.06331778,-0.09582186,-0.09870481,-0.22397923,0.10928488,0.42335051,0.15141153,200.0,48.21270752,1.9677605,0,0.12,38.1241359027545,1.48163416823793,38.1241359027545,1.48163416823793
-2.36564636,-1.39805603,-1.03248978,-0.6892395,-0.42751312,-0.22405052,-0.07070589,-0.12676144,-0.02644897,-0.16959763,0.1160332,0.42540008,0.1278646,200.0,48.20986938,1.96775033333333,0,0.12,38.1119636971142,1.55074087373538,38.1119636971142,1.55074087373538
-2.40008163,-1.44368744,-0.98308754,-0.7270565,-0.53510857,-0.26176739,-0.05406237,-0.12891293,-0.11971712,-0.27674198,0.07044363,0.28403658,0.10811627,200.0,48.22309875,1.96774016666667,0,0.12,38.0979897272889,1.62000012408476,38.0979897272889,1.62000012408476
-2.44521713,-1.47838974,-1.0815773,-0.76876068,-0.55447865,-0.34344673,-0.10690212,-0.16773462,-0.11182904,-0.31195688,0.09638596,0.27049321,0.07537359,200.0,48.20281982,1.96773,0,0.12,38.084826255078,1.68941182730393,38.084826255078,1.68941182730393
-2.39437103,-1.51167297,-1.02454948,-0.66967964,-0.52100277,-0.3346405,-0.04472589,-0.15958166,-0.11302829,-0.28538799,0.14458454,0.29420453,0.24183244,200.0,48.20680618,1.96781983333333,0,0.12,38.0704624436703,1.75897589141077,38.0704624436703,1.75897589141077
-2.24835968,-1.47053146,-0.88432312,-0.66039085,-0.5108614,-0.32655334,0.09450912,-0.16355133,-0.12496114,-0.24246264,0.12971091,0.24722129,0.22432131,200.0,48.21391296,1.96780966666667,0,0.12,38.0553633879873,1.82869222442313,38.0553633879873,1.82869222442313
-2.28073502,-1.45538712,-0.8989296,-0.44660187,-0.52908039,-0.22519875,0.0493412,-0.15473223,-0.13632083,-0.20816851,0.09773123,0.23899013,0.21056634,200.0,48.22290802,1.9677995,0,0.12,38.0418435069599,1.89856073435889,38.0418435069599,1.89856073435889
-2.28969193,-1.45835876,-0.91924477,-0.52003098,-0.37992096,-0.18491077,-0.02549362,-0.13246202,-0.09365296,-0.18633246,0.0854826,0.20378011,0.19892651,200.0,48.19047546,1.96778933333333,0,0.12,38.0270706460687,1.96858132923592,38.0270706460687,1.96858132923592
-2.30986404,-1.4509201,-0.98663712,-0.55949211,-0.39744091,-0.19505215,-0.03588772,-0.12554359,-0.02633786,-0.23856878,0.04779601,0.20296067,0.16613537,200.0,48.1673584,1.96777916666667,0,0.12,38.012416250658,2.03875391707208,38.012416250658,2.03875391707208
-2.25944901,-1.59394073,-1.20447922,-0.72911835,-0.57597446,-0.239151,-0.14480257,-0.24861383,-0.11983752,-0.27823663,-0.0742768,0.25647312,0.01328599,200.0,48.18466187,1.967869,0,0.12,37.9978618258958,2.10907840588525,37.9978618258958,2.10907840588525
-2.31241226,-1.59151077,-1.21705818,-0.68551445,-0.52417183,-0.15071297,-0.129457,-0.23465014,-0.16507912,-0.31692028,-0.01154017,0.23324293,0.05944169,200.0,48.15439987,1.96785883333333,0,0.12,37.9833512575194,2.17955470369328,37.9833512575194,2.17955470369328
-2.29647446,-1.61852646,-1.17698669,-0.6486969,-0.45022964,-0.21966648,-0.18430233,-0.1975503,-0.2070179,-0.26544452,-0.00263882,0.15721327,0.02819127,200.0,48.17244339,1.96794866666667,0,0.12,37.9685747094834,2.25018271851405,37.9685747094834,2.25018271851405
-2.30804443,-1.5927124,-1.15810394,-0.70812607,-0.40977764,-0.21003056,-0.1937623,-0.23269892,-0.12929058,-0.30718565,-0.06461155,0.12187284,0.00120974,200.0,48.15485382,1.9679385,0,0.12,37.9547046202843,2.32096235836543,37.9547046202843,2.32096235836543
